orbit	id	count
(((6, 7), (6, 7), (7, 7)), 0), Orbit 0	164	0
(((6, 7), (6, 7), (7, 7)), 1), Orbit 1	165	0
(((1, 2), (1, 7), (3, 7)), 0), Orbit 0	169	0
(((1, 2), (1, 7), (3, 7)), 1), Orbit 1	170	0
(((1, 2), (1, 7), (3, 7)), 2), Orbit 2	171	0
(((2, 5), (3, 7), (4, 7)), 0), Orbit 0	172	0
(((2, 5), (3, 7), (4, 7)), 1), Orbit 1	173	0
(((2, 5), (3, 7), (4, 7)), 2), Orbit 2	174	0
(((2, 7), (3, 4), (5, 7)), 0), Orbit 0	175	0
(((2, 7), (3, 4), (5, 7)), 1), Orbit 1	176	0
(((2, 7), (3, 4), (5, 7)), 2), Orbit 2	177	0
(((2, 4), (3, 7), (5, 7)), 0), Orbit 0	181	0
(((2, 4), (3, 7), (5, 7)), 1), Orbit 1	182	0
(((2, 4), (3, 7), (5, 7)), 2), Orbit 2	183	0
(((2, 7), (3, 7), (7, 7)), 0), Orbit 0	184	0
(((2, 7), (3, 7), (7, 7)), 1), Orbit 1	185	0
(((2, 7), (3, 7), (7, 7)), 2), Orbit 2	186	0
(((1, 2), (1, 6), (3, 6)), 0), Orbit 0	194	0
(((1, 2), (1, 6), (3, 6)), 1), Orbit 1	195	0
(((1, 2), (1, 6), (3, 6)), 2), Orbit 2	196	0
(((1, 6), (1, 6), (6, 6)), 0), Orbit 0	200	0
(((1, 6), (1, 6), (6, 6)), 1), Orbit 1	201	0
(((2, 3), (2, 5), (3, 4)), 0), Orbit 0	211	0
(((2, 3), (2, 5), (3, 4)), 1), Orbit 1	212	0
(((2, 3), (2, 5), (3, 4)), 2), Orbit 2	213	0
(((2, 5), (3, 6), (4, 6)), 0), Orbit 0	214	0
(((2, 5), (3, 6), (4, 6)), 1), Orbit 1	215	0
(((2, 5), (3, 6), (4, 6)), 2), Orbit 2	216	0
(((2, 4), (3, 6), (5, 6)), 0), Orbit 0	220	0
(((2, 4), (3, 6), (5, 6)), 1), Orbit 1	221	0
(((2, 4), (3, 6), (5, 6)), 2), Orbit 2	222	0
(((2, 6), (3, 4), (5, 6)), 0), Orbit 0	223	0
(((2, 6), (3, 4), (5, 6)), 1), Orbit 1	224	0
(((2, 6), (3, 4), (5, 6)), 2), Orbit 2	225	0
(((4, 6), (5, 6), (6, 6)), 0), Orbit 0	226	0
(((4, 6), (5, 6), (6, 6)), 1), Orbit 1	227	0
(((4, 6), (5, 6), (6, 6)), 2), Orbit 2	228	0
(((2, 3), (2, 7), (3, 7)), 0), Orbit 0	231	0
(((2, 3), (2, 7), (3, 7)), 1), Orbit 1	232	0
(((2, 3), (2, 7), (3, 7)), 2), Orbit 2	233	0
(((6, 6), (6, 7), (6, 7)), 0), Orbit 0	242	0
(((6, 6), (6, 7), (6, 7)), 1), Orbit 1	243	0
(((6, 6), (6, 6), (6, 6)), 0), Orbit 0	258	0
