orbit	id	count
 (((2, 5), (3, 7), (4, 7)), 2), Orbit 2	174	9
 (((2, 7), (3, 7), (7, 7)), 0), Orbit 0	184	9
 (((2, 7), (3, 7), (7, 7)), 1), Orbit 1	185	9
 (((2, 7), (3, 7), (7, 7)), 2), Orbit 2	186	9
 (((4, 7), (4, 7), (5, 5)), 1), Orbit 1	105	8
 (((6, 7), (6, 7), (7, 7)), 1), Orbit 1	165	6
 (((2, 4), (3, 7), (5, 7)), 0), Orbit 0	181	6
 (((2, 4), (3, 7), (5, 7)), 1), Orbit 1	182	6
 (((2, 4), (3, 7), (5, 7)), 2), Orbit 2	183	6
 (((1, 4), (1, 4), (5, 5)), 1), Orbit 1	82	5
 (((1, 4), (1, 6), (5, 6)), 0), Orbit 0	142	5
 (((1, 4), (1, 6), (5, 6)), 1), Orbit 1	143	5
 (((1, 4), (1, 6), (5, 6)), 2), Orbit 2	144	5
 (((2, 7), (3, 4), (5, 7)), 0), Orbit 0	175	5
 (((2, 7), (3, 4), (5, 7)), 1), Orbit 1	176	5
 (((2, 7), (3, 4), (5, 7)), 2), Orbit 2	177	5
 (((4, 4), (5, 6), (5, 6)), 1), Orbit 1	152	4
 (((4, 7), (5, 6), (6, 7)), 0), Orbit 0	161	4
 (((4, 7), (5, 6), (6, 7)), 1), Orbit 1	162	4
 (((4, 7), (5, 6), (6, 7)), 2), Orbit 2	163	4
 (((4, 5), (4, 5), (4, 5)), 0), Orbit 0	88	3
 (((4, 5), (4, 6), (5, 6)), 0), Orbit 0	148	3
 (((4, 5), (4, 6), (5, 6)), 1), Orbit 1	149	3
 (((4, 5), (4, 6), (5, 6)), 2), Orbit 2	150	3
 (((4, 7), (5, 7), (7, 7)), 0), Orbit 0	109	2
 (((4, 7), (5, 7), (7, 7)), 1), Orbit 1	110	2
 (((4, 7), (5, 7), (7, 7)), 2), Orbit 2	111	2
 (((4, 4), (5, 6), (5, 6)), 0), Orbit 0	151	2
 (((1, 4), (1, 7), (5, 7)), 0), Orbit 0	97	1
 (((1, 4), (1, 7), (5, 7)), 1), Orbit 1	98	1
 (((1, 4), (1, 7), (5, 7)), 2), Orbit 2	99	1
 (((1, 6), (1, 7), (6, 7)), 0), Orbit 0	155	1
 (((1, 6), (1, 7), (6, 7)), 1), Orbit 1	156	1
 (((1, 6), (1, 7), (6, 7)), 2), Orbit 2	157	1
 (((1, 2), (1, 7), (3, 7)), 0), Orbit 0	169	1
 (((1, 2), (1, 7), (3, 7)), 1), Orbit 1	170	1
 (((1, 2), (1, 7), (3, 7)), 2), Orbit 2	171	1
